,AbsBrC370
2018-04-02,0.7461737199964776
2018-04-03,1.1770799390647575
2018-04-04,2.051523573331071
2018-04-05,2.63272208648273
2018-04-06,2.7813025388736463
2018-04-07,2.108590663319577
2018-04-08,1.7494442865702222
2018-04-09,1.2211485654587793
2018-04-10,0.7157660917230932
2018-04-11,1.461454170959445
2018-04-12,2.1784999360933672
2018-04-13,1.4482234612067313
2018-04-14,5.098436396122477
2018-04-15,4.895831298048221
2018-04-16,4.513171732292634
2018-04-17,6.158030988616922
2018-04-18,3.311048854115758
2018-04-19,3.9274830257457833
2018-04-20,4.403223094981025
2018-04-21,6.4262233238464574
2018-04-22,4.350426221067676
2018-04-23,3.1740785193198486
2018-04-24,4.096394194010862
2018-04-25,3.128206562023314
2018-04-26,2.0235896092617187
2018-04-27,3.037871287134596
2018-04-28,2.6460824263761134
2018-04-29,1.1835223192798876
2018-04-30,1.3965391247335768
2018-05-01,1.817825286094929
2018-05-02,2.081209086914636
2018-05-03,2.519202734298292
2018-05-04,5.130241085801585
2018-05-05,5.628092801499375
2018-05-06,5.040299488692672
2018-05-07,4.612498431992761
2018-05-08,3.6334176261940327
2018-05-09,2.4376389782432946
2018-05-10,1.9911930819071133
2018-05-11,2.0388045677073743
2018-05-12,0.9875926791449964
2018-05-13,0.9537265183086826
2018-05-14,1.7484422558982935
2018-05-15,1.5517104664362964
2018-05-16,1.999503520742529
2018-05-17,2.630355303429284
2018-05-18,2.520226697074934
2018-05-19,3.1479789068658555
2018-05-20,2.4695818771237144
2018-05-21,2.095257651189604
2018-05-22,3.3865790669550884
2018-05-23,2.3052813345665406
2018-05-24,2.2823172218147563
2018-05-25,2.8243682641161816
2018-05-26,3.644112741769099
2018-05-27,1.4386710308627615
2018-05-28,1.504792705021999
2018-05-29,1.682377141623847
2018-05-30,2.953101169124745
2018-05-31,1.4743694180067273
2018-06-01,1.7145657671080563
2018-06-02,1.4204924807117842
2018-06-03,1.9638271850458928
2018-06-04,1.1923804499195658
2018-06-05,1.219983654329425
2018-06-06,1.2469166027600342
2018-06-07,1.8413685579143708
2018-06-08,2.5326058175720214
2018-06-09,1.3978114653156748
2018-06-10,1.7359475014889558
2018-06-11,1.5447449715195685
2018-06-12,1.2748153441660035
2018-06-13,1.2389130219683369
2018-06-14,1.4063189164368168
2018-06-15,2.865441936537452
2018-06-16,3.395416266357424
2018-06-17,1.1534936047792343
2018-06-18,1.1043874635387103
2018-06-19,3.2249692220082977
2018-06-20,3.815358553695973
2018-06-21,2.970572399829379
2018-06-22,1.6961064925339746
2018-06-23,2.1967076479544985
2018-06-24,1.9909665337753355
2018-06-25,1.8371776261519883
2018-06-26,1.867580782879359
2018-06-27,2.4204088493198195
2018-06-28,1.8186580360923263
2018-06-29,1.9351122266002367
2018-06-30,3.047631665961496
2018-07-01,1.7585386956144895
2018-07-02,1.420285799396089
2018-07-03,1.4323011000128354
2018-07-04,1.3380285883045475
2018-07-05,1.5714372927988949
2018-07-06,1.0596356955102284
2018-07-07,1.6359011995705464
2018-07-08,2.395328551786227
2018-07-09,2.1740291615024403
2018-07-10,2.5391685059714404
2018-07-11,1.043586867260167
2018-07-12,2.3981732948148315
2018-07-13,4.812801438177906
2018-07-14,3.0469681559698785
2018-07-15,2.860525364466759
2018-07-16,2.3262868425151386
2018-07-17,1.430914648423322
2018-07-18,3.4710172524554763
2018-07-19,2.6158726225732685
2018-07-20,2.479479187882718
2018-07-21,2.222548772864313
