,AbsBrC370
2018-06-30,3.095694105008386
2018-07-01,2.815094580315015
2018-07-02,1.6976571488021615
2018-07-03,1.2357811810096768
2018-07-04,1.7858473791186003
2018-07-05,0.8593813379681556
2018-07-06,1.0353328515324502
2018-07-07,1.3992785362762223
2018-07-08,1.686583370961217
2018-07-09,2.4628516231972415
2018-07-10,2.640260626569203
2018-07-11,0.8485861038467911
2018-07-12,5.262075014169996
2018-07-13,3.4486620905182472
2018-07-14,1.4138096386773626
2018-07-15,2.017402411705412
2018-07-16,1.3115525897876008
2018-07-17,40.09580135813474
2018-07-18,7.120361410949623
2018-07-19,5.064260078726615
2018-07-20,0.5393357443914011
2018-07-21,1.3800630866188346
2018-07-22,1.7765140138835325
2018-07-23,2.593281915633175
2018-07-24,1.6006826521202064
2018-07-25,2.864637650923984
